participant_id,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles,z_skill_nonogram,z_skill_puzzles,z_played_before_ord,z_puzzle_played_frequency_ord,z_n_nonogram_sizes,z_n_logic_puzzles,exp_zmean,exp_zmean_z,exp_pca,exp_fa,expertise_tier
P047,4,4,1,1,1,1,-0.1999013076673189,-0.7664198017426261,0.1912730139190015,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-0.5558064438809304,-0.7458806957368762,-0.6680450861391317,-0.4016405167807938,novice
P048,5,6,1,1,1,1,0.17769005125983908,0.20772125467790817,0.1912730139190015,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-0.3305177079896483,-0.4435478946003182,-0.3417055229351245,-0.010385830209099606,intermediate
P049,2,4,0,1,1,3,-0.9550840255216348,-0.7664198017426261,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,0.8939499510240987,-0.4799987475098865,-0.6441483428036718,-0.7282588658102168,-0.9187000237745423,novice
P050,6,6,0,1,1,2,0.5552814101869971,0.20772125467790817,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.2570734411790467,-0.34498721501540874,-0.3026025344956699,0.0921625975451798,intermediate
P051,1,5,0,1,1,1,-1.3326753844487929,-0.27934927353235894,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-0.8440704373440773,-1.132724983649169,-1.1105556409984831,-1.1938756209310413,novice
P052,1,2,0,1,1,1,-1.3326753844487929,-1.7405608581631604,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-1.0876057014492109,-1.4595442464105688,-1.451244967202224,-1.4387538888009022,novice
P053,8,8,3,2,1,3,1.310464128041313,1.1818623110984425,2.359033838334352,0.7018712458648384,-0.5717769234545381,0.8939499510240987,0.9792340918180843,1.3141117986948196,1.3710528524953463,1.463641729359007,expert
P054,1,5,0,1,1,1,-1.3326753844487929,-0.27934927353235894,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-1.3999593572641549,-0.8440704373440773,-1.132724983649169,-1.1105556409984831,-1.1938756209310413,novice
P055,8,9,1,3,1,1,1.310464128041313,1.6689328393087095,0.1912730139190015,1.9917967788056223,-0.5717769234545381,-1.3999593572641549,0.5317884132259921,0.7136489977917319,0.8455805000531277,1.155022640893106,expert
P056,1,4,0,0,1,3,-1.3326753844487929,-0.7664198017426261,-0.8926073982886735,-1.8779798200167295,-0.5717769234545381,0.8939499510240987,-0.7579182294878769,-1.017110511304518,-1.1019505413350488,-1.264963871394821,novice
P057,6,4,2,1,3,3,0.5552814101869971,-0.7664198017426261,1.2751534261266766,-0.5880542870759455,1.7846370641156792,0.8939499510240987,0.5257579604391466,0.7055562554894775,0.6603512689859857,0.5934082500671845,expert
P058,4,7,0,2,1,3,-0.1999013076673189,0.6947917828881753,-0.8926073982886735,0.7018712458648384,-0.5717769234545381,0.8939499510240987,0.10438789172776364,0.1400863810875321,0.08533548165320302,-0.09955540029261575,intermediate
P059,8,7,2,3,3,3,1.310464128041313,0.6947917828881753,1.2751534261266766,1.9917967788056223,1.7846370641156792,0.8939499510240987,1.325132188500261,1.7782998552525697,1.7484239462393911,1.530814213177603,expert
P060,1,3,0,1,1,2,-1.3326753844487929,-1.2534903299528932,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.8152681710568119,-1.0940729409215995,-1.1393585893736435,-1.2927282102836155,novice
P061,7,8,0,3,1,2,0.9328727691141551,1.1818623110984425,-0.8926073982886735,1.9917967788056223,-0.5717769234545381,-0.2530047031200281,0.3981904723591634,0.5343633378649252,0.5726936882883087,0.7199399633738578,expert
P062,5,5,0,1,1,2,0.17769005125983908,-0.27934927353235894,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.40118375570195086,-0.5383802618981669,-0.5153789889650968,-0.21746599973656072,novice
P063,2,6,1,3,1,3,-0.9550840255216348,0.20772125467790817,0.1912730139190015,1.9917967788056223,-0.5717769234545381,0.8939499510240987,0.2929800082417429,0.393173081726922,0.3062576376283072,-0.32907149647281114,expert
P064,3,5,0,1,1,2,-0.5774926665944768,-0.27934927353235894,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.5270475420110036,-0.7072868471560834,-0.71380568043479,-0.6734710157201346,novice
P065,7,8,1,2,2,4,0.9328727691141551,1.1818623110984425,0.1912730139190015,0.7018712458648384,0.6064300703305705,2.0409046051682256,0.9425356692492054,1.2648632783520342,1.1907402726147311,1.030526923137321,expert
P066,7,7,0,1,1,3,0.9328727691141551,0.6947917828881753,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,0.8939499510240987,0.07819598236787863,0.1049373831025188,0.10849718906775715,0.4661907840542531,intermediate
P067,5,3,0,1,1,2,0.17769005125983908,-1.2534903299528932,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,-0.2530047031200281,-0.5635405984387066,-0.7562597704057668,-0.7425052064342574,-0.380718178316468,novice
P068,6,6,0,1,1,3,0.5552814101869971,0.20772125467790817,-0.8926073982886735,-0.5880542870759455,-0.5717769234545381,0.8939499510240987,-0.06591433215502555,-0.0884556637802393,-0.10427926540166982,0.15656218677251266,intermediate
