participant_id,puzzle_id,order,pause_count,time_to_solve_sec,total_time_spent_sec,check_count,error_count,percent_error,percent_incomplete,hint_count,initial_difficulty,final_difficulty,solved_flag,skill_nonogram,skill_puzzles,played_before_ord,puzzle_played_frequency_ord,n_nonogram_sizes,n_logic_puzzles,expertise_composite
Riyad-p1,3,1,65,1247.516722,1247.516722,1,9,0.0,0.0,2,3,3.0,True,8,8,3,2,1,3,1.3084728725533648
Riyad-p1,4,2,47,450.944664,450.944664,1,2,0.0,0.0,1,2,2.0,True,8,8,3,2,1,3,1.3084728725533648
Riyad-p1,1,3,24,312.522135,312.522135,0,0,0.18,0.36,0,3,,False,8,8,3,2,1,3,1.3084728725533648
Riyad-p10,3,1,58,874.676741,874.676741,0,11,0.03,0.04,8,4,,False,5,5,0,1,1,2,-0.5658301382850395
Riyad-p10,0,2,59,662.951409,662.951409,2,10,0.0,0.0,7,3,4.0,True,5,5,0,1,1,2,-0.5658301382850395
Riyad-p10,5,3,53,634.088313,634.08855,1,10,0.0,0.0,2,4,4.0,True,5,5,0,1,1,2,-0.5658301382850395
Riyad-p11,3,1,160,1846.768406,1846.768406,1,37,0.0,0.0,7,5,5.0,True,2,6,1,3,1,3,0.37166420315835064
Riyad-p11,0,2,76,894.834544,894.834544,0,9,0.0,0.0,8,4,,False,2,6,1,3,1,3,0.37166420315835064
Riyad-p11,5,3,0,0.000595,0.000595,0,0,0.5,1.0,0,-1,,False,2,6,1,3,1,3,0.37166420315835064
Riyad-p12,3,1,91,1608.752836,1608.752836,1,7,0.0,0.0,0,4,4.0,True,3,5,0,1,1,2,-0.7367125699384742
Riyad-p12,0,2,58,1041.730985,1041.730985,1,1,0.0,0.0,0,2,2.0,True,3,5,0,1,1,2,-0.7367125699384742
Riyad-p12,5,3,0,,,0,0,0.5,1.0,0,-1,,False,3,5,0,1,1,2,-0.7367125699384742
Riyad-p13,3,1,49,523.202744,523.202744,1,8,0.0,0.0,1,4,4.0,True,7,8,1,2,2,4,1.2597430717528395
Riyad-p13,0,2,50,734.74929,734.74929,1,14,0.0,0.0,3,4,4.0,True,7,8,1,2,2,4,1.2597430717528395
Riyad-p13,5,3,47,543.973064,543.973649,1,3,0.0,0.0,0,3,3.0,True,7,8,1,2,2,4,1.2597430717528395
Riyad-p14,4,1,45,723.818423,723.818423,1,2,0.0,0.0,0,4,4.0,True,7,7,0,1,1,3,0.09096936210967181
Riyad-p14,1,2,48,659.224063,659.224063,1,2,0.0,0.0,0,5,5.0,True,7,7,0,1,1,3,0.09096936210967181
Riyad-p14,3,3,39,634.745698,634.746318,1,1,0.0,0.0,0,5,5.0,True,7,7,0,1,1,3,0.09096936210967181
Riyad-p15,5,1,67,1287.833655,1287.833655,1,7,0.0,0.0,0,3,3.0,True,5,3,0,1,1,2,-0.7918482059323874
Riyad-p15,4,2,55,1172.537917,1172.537917,1,1,0.0,0.0,1,3,3.0,True,5,3,0,1,1,2,-0.7918482059323874
Riyad-p15,1,3,0,,,0,0,0.5,1.0,0,-1,,False,5,3,0,1,1,2,-0.7918482059323874
Riyad-p16,3,1,96,1306.966267,1306.966267,1,11,0.0,0.0,1,4,4.0,True,6,6,0,1,1,3,-0.10748088754071944
Riyad-p16,5,2,62,1013.759212,1013.759212,1,2,0.0,0.0,0,3,3.0,True,6,6,0,1,1,3,-0.10748088754071944
Riyad-p16,2,3,0,,,0,0,0.5,1.0,0,-1,,False,6,6,0,1,1,3,-0.10748088754071944
Riyad-p2,3,1,86,1004.013494,1004.013494,1,18,0.0,0.0,11,4,4.0,True,1,5,0,1,1,1,-1.1674940026858378
Riyad-p2,4,2,84,1216.930418,1216.930418,1,23,0.0,0.0,17,4,4.0,True,1,5,0,1,1,1,-1.1674940026858378
Riyad-p2,1,3,22,385.030456,385.030456,0,9,0.37,0.74,2,4,,False,1,5,0,1,1,1,-1.1674940026858378
Riyad-p3,3,1,60,710.200517,710.200517,1,3,0.0,0.0,11,4,4.0,True,8,9,1,3,1,1,0.7035405974018193
Riyad-p3,4,2,42,396.872643,396.872643,1,6,0.0,0.0,1,3,3.0,True,8,9,1,3,1,1,0.7035405974018193
Riyad-p3,1,3,21,334.277972,334.27847,1,1,0.0,0.0,0,3,3.0,True,8,9,1,3,1,1,0.7035405974018193
Riyad-p4,4,1,107,1040.780985,1040.780985,1,10,0.0,0.0,20,4,4.0,True,1,4,0,0,1,3,-1.0494403545665578
Riyad-p4,5,2,56,726.275149,726.275149,1,3,0.0,0.0,11,4,3.0,True,1,4,0,0,1,3,-1.0494403545665578
Riyad-p4,0,3,65,704.378419,704.37865,1,9,0.0,0.0,10,3,4.0,True,1,4,0,0,1,3,-1.0494403545665578
Riyad-p5,5,1,43,539.778342,539.778342,1,0,0.0,0.0,0,4,4.0,True,6,4,2,1,3,3,0.6807617537732558
Riyad-p5,4,2,43,448.393962,448.393962,1,0,0.0,0.0,0,5,5.0,True,6,4,2,1,3,3,0.6807617537732558
