restarts,conflicts,decisions,propagations,puzzle_id,solving_time,nvars_input,nclauses_input,nvars_solver,nclauses_solver
1,7,23,522,803,1.23,330,1226,330,1090
1,11,28,817,804,1.5,312,1210,312,1210
1,6,15,488,805,1.21,288,1177,288,431
1,1,9,395,806,1.32,320,1315,320,1315
1,10,31,488,807,1.32,328,1293,328,937
1,2,5,462,808,1.2,305,1216,305,728
1,2,6,330,809,1.73,324,1282,324,45
1,16,35,1112,810,1.27,315,1284,315,1237
1,2,10,391,811,1.23,317,1255,317,810
1,8,23,923,812,1.29,315,1211,315,1211
1,11,27,839,813,1.22,309,1142,309,1077
1,7,18,559,814,1.24,311,1208,311,1142
1,1,6,379,815,1.21,320,1273,320,1273
1,0,3,293,816,1.08,292,1140,292,119
1,14,33,764,817,1.24,327,1259,327,895
1,2,14,368,818,1.05,296,1120,296,1120
1,0,3,324,819,1.24,323,1266,323,37
1,11,21,727,820,1.21,327,1207,327,1207
1,6,17,485,821,2.58,303,1195,303,1195
1,3,11,386,822,1.74,324,1280,324,1135
1,10,28,670,823,1.59,301,1245,301,1245
1,6,18,534,824,1.3,328,1313,328,1313
1,2,21,639,825,1.19,321,1273,321,1273
1,2,10,408,826,1.13,312,1197,312,1000
1,4,9,435,827,1.68,321,1258,321,1258
1,8,14,580,828,1.2,322,1213,322,1213
1,4,16,510,829,1.18,308,1241,308,1076
1,2,8,323,830,1.23,318,1297,318,163
1,6,15,483,831,1.74,313,1152,313,516
1,1,8,334,832,1.21,330,1263,330,128
1,5,12,705,833,1.27,322,1244,322,1244
1,2,13,483,834,1.22,326,1283,326,1004
1,0,2,316,835,1.23,315,1239,315,0
1,6,26,511,836,1.48,321,1198,321,1198
1,1,4,314,837,1.14,310,1210,310,9
1,8,21,434,838,1.31,332,1277,332,468
1,3,10,423,839,1.22,321,1241,321,966
1,0,3,318,840,2.0,317,1299,317,516
1,1,4,396,841,1.17,324,1217,324,1217
1,5,20,774,842,1.26,302,1320,302,1320
1,0,2,332,843,1.21,331,1310,331,0
1,7,31,828,844,1.2,307,1276,307,1175
1,1,5,323,845,1.24,320,1284,320,629
1,9,23,761,846,1.17,322,1243,322,1145
1,14,30,1060,847,1.2,319,1262,319,1262
1,11,35,1046,848,1.13,317,1243,317,1115
1,3,14,381,849,1.19,301,1160,301,314
1,3,8,387,850,1.21,323,1260,323,404
1,3,12,565,851,1.13,321,1243,321,1141
1,11,32,986,852,1.25,317,1334,317,1212
1,5,26,669,853,1.26,316,1306,316,1306
1,2,7,327,854,1.49,320,1215,320,26
1,3,8,456,855,1.17,310,1268,310,680
1,8,33,598,856,1.13,313,1238,313,1065
1,7,18,765,857,1.05,302,1139,302,1014
1,3,6,462,858,1.13,322,1262,322,370
1,7,25,726,859,1.59,330,1282,330,1205
1,1,7,337,860,1.13,305,1203,305,246
1,8,26,607,861,1.25,317,1347,317,791
1,1,5,308,862,1.15,304,1244,304,213
1,2,16,435,863,1.12,322,1306,322,1012
1,4,15,777,864,2.35,316,1260,316,1260
1,3,10,487,865,1.25,313,1302,313,899
1,4,8,338,866,1.09,316,1259,316,1033
1,7,19,522,867,1.13,336,1278,336,578
1,1,8,333,868,1.05,316,1217,316,704
1,7,31,651,869,1.38,320,1264,320,1264
1,3,15,522,870,1.26,321,1264,321,985
1,8,20,652,871,1.18,310,1205,310,1205
1,2,6,336,872,1.15,307,1277,307,207
1,1,6,379,873,1.07,316,1237,316,1107
1,4,15,798,874,1.16,304,1246,304,1246
1,0,2,303,875,1.05,302,1123,302,0
1,6,16,476,876,1.1,297,1196,297,1196
1,5,18,450,877,1.11,307,1212,307,1069
1,1,5,333,878,1.16,325,1246,325,274
1,12,25,617,879,1.22,324,1312,324,1214
1,23,56,1571,880,1.26,318,1296,318,1137
1,4,13,387,881,1.04,309,1165,309,816
1,11,43,813,882,1.14,311,1296,311,1296
1,1,6,327,883,1.18,324,1258,324,293
1,2,5,381,884,1.22,321,1242,321,446
1,11,29,882,885,1.2,324,1308,324,1102
1,7,26,680,886,1.11,298,1233,298,1233
1,6,30,724,887,1.14,329,1328,329,1240
1,7,16,666,888,1.11,314,1244,314,869
1,12,29,768,889,1.25,312,1235,312,1147
1,0,3,330,890,1.17,329,1171,329,237
1,22,37,1131,891,1.08,312,1147,312,890
1,0,5,327,892,1.16,326,1306,326,979
1,10,29,775,893,1.11,318,1238,318,1238
1,5,24,759,894,1.21,322,1278,322,1278
1,12,25,879,895,1.24,311,1282,311,1282
1,2,5,304,896,0.98,298,1117,298,32
1,1,5,335,897,1.08,332,1263,332,1181
1,2,9,341,898,1.07,300,1240,300,702
1,3,13,631,899,1.13,325,1244,325,1244
1,1,6,404,900,1.06,321,1246,321,1246
1,4,19,533,901,1.09,318,1213,318,748
1,14,42,1046,902,1.16,339,1278,339,1278
1,0,3,316,903,1.02,315,1190,315,91
1,0,4,306,904,1.1,305,1287,305,316
1,8,34,743,905,1.18,310,1310,310,1310
1,1,8,430,906,1.23,318,1225,318,827
1,15,48,1668,907,1.12,315,1186,315,1186
